~~~ Starting Training ~~~
Ep.:  1500, Score:  -2.63, P_win: 0.18, Tran: 82.91, eps: 0.19, lr: 2.00e-04, pred: 174.48 min
Ep.:  2000, Score:  -1.61, P_win: 0.32, Tran: 75.91, eps: 0.18, lr: 2.00e-04, pred: 171.01 min
Ep.:  2500, Score:  -0.87, P_win: 0.27, Tran: 80.87, eps: 0.18, lr: 2.00e-04, pred: 167.91 min
Ep.:  3000, Score:  -1.66, P_win: 0.36, Tran: 75.17, eps: 0.17, lr: 2.00e-04, pred: 165.96 min
Ep.:  3500, Score:  -1.17, P_win: 0.36, Tran: 76.14, eps: 0.17, lr: 2.00e-04, pred: 163.44 min
Ep.:  4000, Score:  -1.23, P_win: 0.44, Tran: 74.28, eps: 0.16, lr: 2.00e-04, pred: 161.01 min
Ep.:  4500, Score:  -0.75, P_win: 0.32, Tran: 79.40, eps: 0.16, lr: 2.00e-04, pred: 157.88 min
Ep.:  5000, Score:  -0.09, P_win: 0.41, Tran: 69.62, eps: 0.16, lr: 2.00e-04, pred: 155.98 min
Ep.:  5500, Score:  -0.27, P_win: 0.41, Tran: 73.83, eps: 0.15, lr: 2.00e-04, pred: 153.68 min
Ep.:  6000, Score:  -0.11, P_win: 0.38, Tran: 75.54, eps: 0.15, lr: 2.00e-04, pred: 151.06 min
Ep.:  6500, Score:   0.01, P_win: 0.43, Tran: 74.42, eps: 0.14, lr: 2.00e-04, pred: 148.79 min
Ep.:  7000, Score:   0.94, P_win: 0.45, Tran: 71.14, eps: 0.14, lr: 2.00e-04, pred: 146.32 min
Ep.:  7500, Score:   1.22, P_win: 0.53, Tran: 70.91, eps: 0.14, lr: 2.00e-04, pred: 144.01 min
Ep.:  8000, Score:   1.94, P_win: 0.43, Tran: 75.39, eps: 0.13, lr: 2.00e-04, pred: 141.59 min
Ep.:  8500, Score:   1.85, P_win: 0.55, Tran: 68.72, eps: 0.13, lr: 2.00e-04, pred: 138.91 min
Ep.:  9000, Score:   1.99, P_win: 0.51, Tran: 71.77, eps: 0.13, lr: 2.00e-04, pred: 136.27 min
Ep.:  9500, Score:   2.46, P_win: 0.59, Tran: 65.08, eps: 0.12, lr: 2.00e-04, pred: 133.62 min
Ep.: 10000, Score:   3.17, P_win: 0.60, Tran: 66.19, eps: 0.12, lr: 2.00e-04, pred: 130.80 min
Ep.: 10500, Score:   2.89, P_win: 0.57, Tran: 68.48, eps: 0.12, lr: 2.00e-04, pred: 127.95 min
Ep.: 11000, Score:   2.89, P_win: 0.57, Tran: 68.31, eps: 0.12, lr: 2.00e-04, pred: 125.16 min
Ep.: 11500, Score:   3.01, P_win: 0.60, Tran: 67.95, eps: 0.11, lr: 2.00e-04, pred: 122.28 min
Ep.: 12000, Score:   3.31, P_win: 0.67, Tran: 64.51, eps: 0.11, lr: 2.00e-04, pred: 119.26 min
Ep.: 12500, Score:   4.25, P_win: 0.64, Tran: 67.46, eps: 0.11, lr: 2.00e-04, pred: 116.12 min
Ep.: 13000, Score:   4.93, P_win: 0.67, Tran: 67.51, eps: 0.10, lr: 2.00e-04, pred: 112.72 min
Ep.: 13500, Score:   4.75, P_win: 0.83, Tran: 57.20, eps: 0.10, lr: 2.00e-04, pred: 109.33 min
Ep.: 14000, Score:   4.57, P_win: 0.60, Tran: 68.38, eps: 0.10, lr: 2.00e-04, pred: 105.89 min
Ep.: 14500, Score:   5.11, P_win: 0.83, Tran: 57.27, eps: 0.10, lr: 2.00e-04, pred: 102.53 min
Ep.: 15000, Score:   5.22, P_win: 0.80, Tran: 57.42, eps: 0.09, lr: 2.00e-04, pred: 99.12 min
Ep.: 15500, Score:   5.43, P_win: 0.77, Tran: 59.06, eps: 0.09, lr: 1.00e-04, pred: 95.35 min
Ep.: 16000, Score:   6.43, P_win: 0.72, Tran: 62.88, eps: 0.09, lr: 1.00e-04, pred: 91.73 min
Ep.: 16500, Score:   5.75, P_win: 0.78, Tran: 58.49, eps: 0.09, lr: 1.00e-04, pred: 88.16 min
Ep.: 17000, Score:   6.40, P_win: 0.80, Tran: 57.70, eps: 0.09, lr: 1.00e-04, pred: 84.58 min
